Order_ID,Customer_ID,Product_ID,Order_Date,Quantity
O00001,C0363,P049,2025-12-01,2
O00002,C0493,P004,2025-10-15,9
O00003,C0177,P015,2025-10-25,7
O00004,C0414,P030,2025-11-28,1
O00005,C0493,P004,2025-09-23,9
O00006,C0080,P032,2025-12-23,3
O00007,C0212,P048,2025-05-23,1
O00008,C0394,P048,2025-07-10,2
O00009,C0346,P022,2025-06-30,7
O00010,C0400,P005,2025-06-07,6
O00011,C0097,P019,2025-09-15,10
O00012,C0017,P019,2025-11-01,6
O00013,C0191,P034,2025-08-09,3
O00014,C0339,P033,2025-05-08,5
O00015,C0354,P049,2025-01-17,9
O00016,C0125,P034,2025-07-28,9
O00017,C0088,P016,2025-08-19,8
O00018,C0245,P044,2025-10-02,7
O00019,C0366,P033,2025-11-08,7
O00020,C0390,P020,2025-06-25,1
O00021,C0144,P027,2025-12-08,6
O00022,C0388,P038,2025-06-18,3
O00023,C0166,P003,2025-03-11,1
O00024,C0463,P002,2025-02-22,10
O00025,C0405,P042,2025-02-21,2
O00026,C0272,P024,2025-02-28,8
O00027,C0170,P019,2025-08-13,1
O00028,C0021,P042,2025-11-13,2
O00029,C0333,P045,2025-06-10,10
O00030,C0192,P018,2025-03-18,10
O00031,C0244,P014,2025-02-19,5
O00032,C0474,P045,2025-05-18,8
O00033,C0254,P031,2025-12-06,9
O00034,C0448,P028,2025-07-19,6
O00035,C0428,P024,2025-10-04,8
O00036,C0357,P046,2025-09-19,4
O00037,C0228,P019,2025-11-03,3
O00038,C0208,P024,2025-03-16,10
O00039,C0346,P006,2025-10-07,9
O00040,C0236,P020,2025-02-27,1
O00041,C0423,P018,2025-09-11,10
O00042,C0479,P006,2025-10-22,9
O00043,C0369,P028,2025-09-25,1
O00044,C0014,P003,2025-12-24,3
O00045,C0417,P042,2025-09-25,1
O00046,C0443,P013,2025-07-06,2
O00047,C0088,P032,2025-03-12,4
O00048,C0003,P001,2025-03-23,10
O00049,C0253,P012,2025-01-27,1
O00050,C0370,P008,2025-02-18,6
O00051,C0285,P044,2025-01-04,10
O00052,C0387,P035,2025-04-04,3
O00053,C0142,P016,2025-02-02,7
O00054,C0388,P012,2025-05-23,1
O00055,C0311,P043,2025-09-05,3
O00056,C0014,P001,2025-06-12,7
O00057,C0192,P042,2025-10-10,3
O00058,C0095,P047,2025-11-14,4
O00059,C0256,P002,2025-06-10,8
O00060,C0103,P040,2025-04-19,10
O00061,C0467,P042,2025-10-14,5
O00062,C0352,P010,2025-04-24,10
O00063,C0265,P049,2025-06-14,1
O00064,C0371,P033,2025-04-30,7
O00065,C0430,P005,2025-10-21,1
O00066,C0291,P002,2025-02-18,8
O00067,C0431,P023,2025-02-22,6
O00068,C0117,P011,2025-04-18,8
O00069,C0157,P046,2025-05-06,2
O00070,C0454,P002,2025-03-15,10
O00071,C0459,P017,2025-06-21,7
O00072,C0200,P011,2025-04-21,3
O00073,C0244,P038,2025-03-16,5
O00074,C0320,P041,2025-11-19,10
O00075,C0298,P003,2025-10-23,9
O00076,C0107,P025,2025-11-29,4
O00077,C0181,P049,2025-08-03,6
O00078,C0099,P021,2025-08-21,8
O00079,C0254,P013,2025-12-01,8
O00080,C0376,P002,2025-05-18,8
O00081,C0216,P001,2025-09-02,5
O00082,C0266,P026,2025-11-24,4
O00083,C0252,P034,2025-04-01,5
O00084,C0458,P016,2025-08-22,3
O00085,C0305,P046,2025-10-13,5
O00086,C0338,P038,2025-05-29,8
O00087,C0500,P017,2025-11-13,8
