Transaction_ID,Order_ID,Revenue,Profit,Discount
T00001,O00001,5651,1137.0,0.01
T00002,O00002,3465,793.4,0.12
T00003,O00003,7131,3055.45,0.05
T00004,O00004,2053,649.99,0.11
T00005,O00005,7443,1396.64,0.19
T00006,O00006,8604,2397.01,0.14
T00007,O00007,826,170.16,0.19
T00008,O00008,8712,2516.01,0.16
T00009,O00009,8541,1848.3,0.03
T00010,O00010,5039,1200.33,0.12
T00011,O00011,2253,354.14,0.14
T00012,O00012,880,357.87,0.09
T00013,O00013,2911,498.43,0.01
T00014,O00014,7015,1982.93,0.01
T00015,O00015,9613,1925.9,0.07
T00016,O00016,4792,783.94,0.09
T00017,O00017,2507,1004.66,0.19
T00018,O00018,1828,387.76,0.15
T00019,O00019,5847,1431.65,0.16
T00020,O00020,3457,1466.05,0.11
T00021,O00021,7763,3026.2,0.08
T00022,O00022,6574,2289.88,0.04
T00023,O00023,2908,721.56,0.14
T00024,O00024,2938,804.16,0.1
T00025,O00025,9870,1983.48,0.07
T00026,O00026,3183,1248.39,0.18
T00027,O00027,1425,371.95,0.19
T00028,O00028,6974,2177.26,0.13
T00029,O00029,6999,2010.44,0.07
T00030,O00030,2684,733.55,0.09
T00031,O00031,9583,3057.53,0.2
T00032,O00032,8394,2339.33,0.12
T00033,O00033,4930,1886.92,0.18
T00034,O00034,8176,2300.9,0.03
T00035,O00035,6870,2498.42,0.08
T00036,O00036,913,290.16,0.16
T00037,O00037,6333,1404.66,0.08
T00038,O00038,1503,616.65,0.09
T00039,O00039,2141,755.34,0.18
T00040,O00040,6544,1416.6,0.18
T00041,O00041,7063,1094.23,0.15
T00042,O00042,3635,929.26,0.05
T00043,O00043,4024,1621.93,0.04
T00044,O00044,5706,2078.71,0.15
T00045,O00045,9029,2965.78,0.12
T00046,O00046,9696,3353.98,0.1
T00047,O00047,9278,4116.68,0.12
T00048,O00048,2692,433.2,0.11
T00049,O00049,7150,1856.9,0.16
T00050,O00050,6446,1084.31,0.13
T00051,O00051,1522,230.95,0.01
T00052,O00052,3969,852.28,0.11
T00053,O00053,9694,2009.9,0.11
T00054,O00054,8680,2830.01,0.14
T00055,O00055,4813,750.07,0.13
T00056,O00056,6448,1591.68,0.16
T00057,O00057,5735,1259.15,0.06
T00058,O00058,5566,1946.5,0.16
T00059,O00059,1857,534.51,0.15
T00060,O00060,3302,507.02,0.11
T00061,O00061,9230,3897.62,0.04
T00062,O00062,2973,968.87,0.16
T00063,O00063,7518,1311.67,0.09
T00064,O00064,987,172.54,0.19
T00065,O00065,2745,964.42,0.13
T00066,O00066,2737,618.73,0.04
T00067,O00067,696,190.12,0.02
T00068,O00068,3610,1528.65,0.16
T00069,O00069,4879,1514.92,0.11
T00070,O00070,5036,2034.15,0.08
T00071,O00071,9620,2696.25,0.0
T00072,O00072,1320,249.79,0.16
T00073,O00073,2815,803.78,0.08
T00074,O00074,4136,1398.85,0.01
T00075,O00075,3228,1354.74,0.14
T00076,O00076,8703,3052.76,0.04
T00077,O00077,4842,1564.93,0.17
T00078,O00078,7232,1669.81,0.11
T00079,O00079,8777,2220.26,0.11
T00080,O00080,1869,382.32,0.01
T00081,O00081,5248,1548.56,0.09
T00082,O00082,4318,684.88,0.17
T00083,O00083,7979,1219.03,0.13
T00084,O00084,5614,1085.09,0.04
T00085,O00085,5890,2231.29,0.06
T00086,O00086,3826,1275.83,0.06
T00087,O00087,2991,1293.96,0.02
T00088,O00088,9555,3583.02,0.06
T00089,O00089,3603,1330.99,0.04
T00090,O00090,5148,1248.24,0.02
T00091,O00091,4008,742.18,0.0
T00092,O00092,3452,760.61,0.16
T00093,O00093,5958,1637.15,0.05
T00094,O00094,6508,2907.45,0.08
T00095,O00095,535,145.55,0.14
T00096,O00096,2198,523.33,0.1
T00097,O00097,1426,620.67,0.02
T00098,O00098,5132,1238.03,0.18
T00099,O00099,5863,1081.43,0.05
T00100,O00100,9029,2172.66,0.16
T00101,O00101,7323,1558.63,0.1
T00102,O00102,5783,1793.53,0.18
T00103,O00103,7051,2291.13,0.15
T00104,O00104,9292,3303.59,0.15
T00105,O00105,7255,2651.96,0.17
T00106,O00106,9548,1689.9,0.06
T00107,O00107,8865,1963.81,0.14
T00108,O00108,3063,739.57,0.11
T00109,O00109,9910,2491.49,0.13
T00110,O00110,9548,1815.46,0.03
T00111,O00111,1480,294.45,0.08
T00112,O00112,7120,1654.17,0.17
T00113,O00113,1064,233.94,0.0
T00114,O00114,2809,520.6,0.01
T00115,O00115,3910,882.4,0.0
T00116,O00116,1914,684.69,0.05
T00117,O00117,6420,1053.28,0.01
T00118,O00118,3507,798.24,0.06
T00119,O00119,3273,1033.53,0.04
T00120,O00120,3444,665.43,0.12
T00121,O00121,9620,3821.83,0.19
T00122,O00122,7690,1217.67,0.14
T00123,O00123,3448,563.95,0.02
T00124,O00124,7888,1984.09,0.09
T00125,O00125,7146,1809.19,0.2
T00126,O00126,6461,2359.75,0.14
T00127,O00127,5833,1650.94,0.02
T00128,O00128,9774,3488.82,0.1
T00129,O00129,7693,1703.41,0.19
T00130,O00130,2047,494.05,0.15
T00131,O00131,2660,678.63,0.03
T00132,O00132,653,281.59,0.05
T00133,O00133,4073,1594.73,0.05
T00134,O00134,9425,2782.23,0.02
T00135,O00135,5165,1213.67,0.12
T00136,O00136,5063,848.56,0.05
T00137,O00137,2087,741.02,0.17
T00138,O00138,2270,864.81,0.09
T00139,O00139,597,194.72,0.15
T00140,O00140,4607,1192.59,0.11
T00141,O00141,1285,402.02,0.2
T00142,O00142,9055,2187.62,0.15
T00143,O00143,7628,2744.88,0.04
T00144,O00144,1970,649.45,0.05
T00145,O00145,8187,1613.67,0.19
T00146,O00146,3475,565.99,0.12
T00147,O00147,5316,1397.38,0.19
T00148,O00148,8625,3403.92,0.04
T00149,O00149,1840,455.26,0.17
T00150,O00150,6053,2529.57,0.05
T00151,O00151,6634,2631.46,0.1
T00152,O00152,5046,2092.7,0.13
T00153,O00153,1001,170.25,0.0
T00154,O00154,1898,675.72,0.12
T00155,O00155,7782,2010.41,0.19
T00156,O00156,3821,947.69,0.18
T00157,O00157,7671,2953.28,0.04
T00158,O00158,2198,453.7,0.16
T00159,O00159,2569,554.78,0.11
T00160,O00160,2098,677.68,0.06
T00161,O00161,715,211.82,0.14
T00162,O00162,8145,3485.17,0.05
T00163,O00163,7501,1608.52,0.13
T00164,O00164,3642,802.1,0.03
T00165,O00165,4622,1067.73,0.13
T00166,O00166,4809,1460.84,0.2
T00167,O00167,2197,350.93,0.01
T00168,O00168,9295,2162.55,0.19
