Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Transaction_ID,Revenue,Profit,Discount,Customer_Name,Region,Customer_Segment,Industry,Product_Name,Category,Unit_Cost
O00001,C0363,P049,2025-12-01,2,T00001,5651,1137.0,0.01,Goodman-Strickland,West,Consumer,Media,Training Services,Services,891
O00002,C0493,P004,2025-10-15,9,T00002,3465,793.4,0.12,Waller and Sons,Northeast,Corporate,Education,Business Laptop,Hardware,583
O00003,C0177,P015,2025-10-25,7,T00003,7131,3055.45,0.05,Logan-Rowe,West,Consumer,Education,Business Laptop,Hardware,495
O00004,C0414,P030,2025-11-28,1,T00004,2053,649.99,0.11,"Flores, Washington and Smith",South,Consumer,Finance,Cloud Analytics Platform,Software,605
O00005,C0493,P004,2025-09-23,9,T00005,7443,1396.64,0.19,Waller and Sons,Northeast,Corporate,Education,Business Laptop,Hardware,583
O00006,C0080,P032,2025-12-23,3,T00006,8604,2397.01,0.14,Collins PLC,Northeast,Consumer,Education,Analytics Consulting,Services,411
O00007,C0212,P048,2025-05-23,1,T00007,826,170.16,0.19,"Garcia, Anderson and Watson",Midwest,Corporate,Finance,Cloud Analytics Platform,Software,986
O00008,C0394,P048,2025-07-10,2,T00008,8712,2516.01,0.16,"Adams, Brown and Henry",South,Consumer,Media,Cloud Analytics Platform,Software,986
O00009,C0346,P022,2025-06-30,7,T00009,8541,1848.3,0.03,"Carlson, Perez and Smith",Midwest,Consumer,Healthcare,Business Laptop,Hardware,386
O00010,C0400,P005,2025-06-07,6,T00010,5039,1200.33,0.12,"Hartman, Smith and Carrillo",Northeast,Consumer,Healthcare,Cybersecurity Package,Software,272
O00011,C0097,P019,2025-09-15,10,T00011,2253,354.14,0.14,Gonzalez Ltd,West,Corporate,Healthcare,Analytics Consulting,Services,292
O00012,C0017,P019,2025-11-01,6,T00012,880,357.87,0.09,Blake-Wilson,Northeast,Small Business,Technology,Analytics Consulting,Services,292
O00013,C0191,P034,2025-08-09,3,T00013,2911,498.43,0.01,Reed-Newton,West,Consumer,Healthcare,Training Services,Services,250
O00014,C0339,P033,2025-05-08,5,T00014,7015,1982.93,0.01,"White, Bell and Reed",Northeast,Corporate,Media,Training Services,Services,705
O00015,C0354,P049,2025-01-17,9,T00015,9613,1925.9,0.07,Wilson-Hale,South,Consumer,Technology,Training Services,Services,891
O00016,C0125,P034,2025-07-28,9,T00016,4792,783.94,0.09,Jordan-Vega,South,Corporate,Technology,Training Services,Services,250
O00017,C0088,P016,2025-08-19,8,T00017,2507,1004.66,0.19,"Duncan, Diaz and Hensley",Northeast,Corporate,Finance,Analytics Consulting,Services,981
O00018,C0245,P044,2025-10-02,7,T00018,1828,387.76,0.15,Hernandez PLC,South,Corporate,Retail,Analytics Consulting,Services,723
O00019,C0366,P033,2025-11-08,7,T00019,5847,1431.65,0.16,"Mcbride, Butler and Braun",Midwest,Small Business,Technology,Training Services,Services,705
O00020,C0390,P020,2025-06-25,1,T00020,3457,1466.05,0.11,Williams-Blackwell,West,Small Business,Technology,Cybersecurity Package,Software,771
O00021,C0144,P027,2025-12-08,6,T00021,7763,3026.2,0.08,"Lee, Mason and Myers",South,Small Business,Media,Analytics Consulting,Services,835
O00022,C0388,P038,2025-06-18,3,T00022,6574,2289.88,0.04,"Benson, Rose and Coleman",West,Small Business,Media,Cybersecurity Package,Software,409
